Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mKBB,mQS,mSVHLD,PTS,aPOS,Dollars,PlayerId
"Yunior Marte","PHI","RP",999,48,-0.9690462337392025,-2.508731661091834,-3.5067711830503967,-2.6005462036929456,-2.3962344867203584,-1.5672826459003029,-13.548612414195041,4.45688385552075,-8.09172855867429,"14416"
"Matt Krook","NYY","RP",999,38,-0.1006482379007863,-2.5233041989769815,-3.8709248620792995,-3.118288130214085,-2.3962344867203584,-1.5454953138425183,-13.55489522973403,4.45688385552075,-8.098011374213279,"19315"
"Jose Cisnero",,"RP",999,51,-0.8924689653361846,-2.508825116280275,-3.20618169567862,-2.8899739184778657,-2.3962344867203584,-1.6655512697328227,-13.55923545222613,4.45688385552075,-8.102351596705379,"6399"
"Yoendrys Gomez","NYY","RP",999,43.234,-1.710766505401571,-2.2193174344645703,-3.661768351142647,-2.213832578892817,-2.208435293796486,-1.5454953138425183,-13.559615477540609,4.45688385552075,-8.102731622019858,"22872"
"Brett Martin",,"RP",999,40,-0.6744834936716293,-2.5634743246409673,-4.066780822147257,-2.2244305832711952,-2.3962344867203584,-1.6655512697328227,-13.59095498018423,4.45688385552075,-8.134071124663482,"17369"
"Ryan Borucki","PIT","RP",999,62,-1.6436180052393614,-3.6698354776082525,-3.1130529895212606,-3.527023155755024,-2.3962344867203584,0.7407124304194141,-13.609051684424841,4.45688385552075,-8.152167828904092,"16350"
"Ryan Fernandez","STL","RP",999,45,-1.2568002620822283,-2.351823660063613,-3.8478702447668067,-2.216160488241756,-2.3962344867203584,-1.5504051321205756,-13.619294273995338,4.45688385552075,-8.16241041847459,"sa3007996"
"Chayce McDermott","BAL","RP",999,37.468,-1.3003718086305245,-2.2772169004019016,-3.849043629172817,-2.652400286452685,-2.0053620171515103,-1.54903326859956,-13.633427910408997,4.45688385552075,-8.17654405488825,"sa3017420"
"Marcus Stroman",,"SP",282.3999938964844,186.49,-3.7272835875209713,-9.595471957197336,1.1811290941734065,-6.566711512397716,2.3695534732036383,-1.6655512697328227,-18.004335759471804,8.778744096319503,-8.225591663152297,"13431"
"Michael Rucker","CHC","RP",999,44,-1.3445459878385853,-2.5003163733298126,-3.7773086994548155,-2.1231404544310193,-2.3962344867203584,-1.5517228449745595,-13.69326884674915,4.45688385552075,-8.236384991228398,"19454"
"William Warren","NYY","SP",999,104.34,-3.365208674459347,-6.062416664212973,-1.733963270943661,-5.086451325659136,-0.24162512023620103,-1.5454953138425183,-18.035160369353836,8.778744096319503,-8.256416273034331,"sa3018149"
"Miguel Castro","ARI","RP",999,63,-1.6624422493217486,-3.9862753776728446,-2.8534388097155765,-4.033088015559575,-2.3962344867203584,1.1870549143148894,-13.744424024675212,4.45688385552075,-8.287540169154465,"15684"
"Joely Rodriguez",,"RP",999,53,-0.27137858185581576,-2.9298865893544934,-3.351118367907158,-3.1445852100188083,-2.3962344867203584,-1.6655512697328227,-13.758754505589456,4.45688385552075,-8.301870650068707,"11487"
"Will Smith","KCR","RP",351.6700134277344,64,-2.934520492220417,-4.011482681106537,-2.8936506768525687,-3.429734384636939,-2.3962344867203584,1.897426711740335,-13.768196009796489,4.45688385552075,-8.311312154275738,"8048"
"Zach Jackson","OAK","RP",999,56,-1.1218820110017484,-3.150736351285033,-2.800125192321733,-4.268186084554064,-2.3962344867203584,-0.03558094517667272,-13.772745071059608,4.45688385552075,-8.315861215538858,"19493"
"Josh Winder","MIN","RP",999,44,-1.9803492693099913,-2.393913650049532,-3.828413622302646,-1.6368429865886154,-2.3962344867203584,-1.553419612497768,-13.789173627468912,4.45688385552075,-8.332289771948165,"24606"
"Isaiah Campbell","BOS","RP",999,48,-1.5893165253571662,-2.9476999993179382,-3.515861044800973,-2.4022166364913247,-2.3962344867203584,-0.9481578102924345,-13.799486502980196,4.45688385552075,-8.342602647459447,"25551"
"Guillermo Zuniga","STL","RP",999,37,-1.2236064062900918,-2.225163405760708,-3.894151948796773,-2.5483479026148297,-2.3962344867203584,-1.5504051321205756,-13.837909282303338,4.45688385552075,-8.381025426782587,"19588"
"Miguel Diaz","DET","RP",999,57,-1.3134397663484139,-3.349961705825879,-3.1935068401130997,-3.205113610385864,-2.3962344867203584,-0.380820723081019,-13.839077132474634,4.45688385552075,-8.382193276953885,"18815"
"Wandy Peralta",,"RP",999,54,-0.11899601574024543,-3.091206554880716,-3.253412475146099,-3.3193141991913775,-2.3962344867203584,-1.6655512697328227,-13.84471500141162,4.45688385552075,-8.387831145890871,"14295"
