Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars,PlayerId
"Trevor Rogers","MIA","SP",94.37000274658203,156.554,0.9563629104233835,-1.5017901580503095,1.8386838463125774,-1.2320103516740941,1.759838021519663,1.8210842685312203,9.9078506423059,12.72893491083712,"22286"
"Jose Berrios","TOR","SP",78.43000030517578,190.198,3.7001481955033575,-1.5017901580503095,-2.0177389363036835,-1.3962505973162598,3.0165225480486497,1.800891051881754,9.9078506423059,12.708741694187655,"14168"
"Sean Manaea","OAK","SP",147.5800018310547,168.707,2.337257952379282,-1.5017901580503095,-0.6423749962892982,0.40062623123625585,1.1915774388590281,1.7852964681349572,9.9078506423059,12.693147110440858,"15873"
"Logan Webb","SFG","SP",63.189998626708984,165.761,1.6404413204359056,-1.5017901580503095,1.9139746672442004,-1.2537372553997637,0.9361379153863707,1.7350264896164036,9.9078506423059,12.642877131922305,"17995"
"Clayton Kershaw",,"SP",172.72999572753906,132.702,0.930197938036331,-1.5017901580503095,0.8772501671610875,1.6627353686350521,-0.4021879688478289,1.566205346934332,9.9078506423059,12.474055989240235,"2036"
"Raisel Iglesias","LAA","RP",49.810001373291016,65.1257,-3.65112694494367,7.294759384182112,2.0343967235292646,2.1985947635230287,-3.65226602185262,4.224357904438116,6.126448073082172,11.350805977520286,"17130"
"Shohei Ohtani","LAA","SP",8.579999923706055,140.699,0.2829047197553594,-1.5017901580503095,0.9324783284424789,-0.43553409081915245,1.070818071804469,0.34887687113284505,9.9078506423059,11.256727513438745,"19755"
"Chris Bassitt","OAK","SP",138.00999450683594,168.234,1.685790918598857,-1.5017901580503095,-0.4212345678818565,-0.3105504306206325,0.842175924815222,0.29439168686128053,9.9078506423059,11.202242329167182,"12304"
"Alek Manoah","TOR","SP",95.56999969482422,150.252,1.5994263424989712,-1.5017901580503095,-1.412645627624594,-0.07320812330677613,1.3310704616915516,-0.05714710479115698,9.9078506423059,10.850703537514743,"26410"
"Dylan Cease","CHW","SP",85.20999908447266,162.206,2.6005219424827772,-1.5017901580503095,-1.4858795416931612,-3.135155321783446,3.2532598848520555,-0.2690431941920842,9.9078506423059,10.638807448113816,"18525"
"Ryan Pressly","HOU","RP",64.98999786376953,62.8419,-4.540453043090129,7.681540377510998,3.067986609677575,1.523366862118481,-4.481353544036695,3.2510872621802305,6.126448073082172,10.377535335262403,"7005"
"Shane Baz","TBR","SP",141.3699951171875,121.039,-0.09124523461328087,-1.5017901580503095,0.38889795478638567,1.3064040415561757,-0.7114329929547499,-0.6091663892757792,9.9078506423059,10.298684253030121,"22264"
"Emmanuel Clase","CLE","RP",59.27000045776367,66.4563,-4.499904487702623,6.373084940475705,4.470150829858266,1.272143093044937,-4.4533612950315336,3.1621130806447506,6.126448073082172,10.288561153726924,"21032"
"Shane McClanahan","TBR","SP",111.2699966430664,146.686,1.6544784181139278,-1.5017901580503095,0.005454634544348898,-1.9612863017462485,1.0130722573155577,-0.7900711498227238,9.9078506423059,10.117779492483177,"21483"
"Pablo Lopez","MIA","SP",135.07000732421875,145.568,-0.10751405313732765,-1.5017901580503095,0.18776369184591862,0.6729469204267151,-0.1923376478071987,-0.9409312467222021,9.9078506423059,9.966919395583698,"17085"
"Edwin Diaz","NYM","RP",64.63999938964844,65.8377,-4.214290861666395,7.044266069363542,1.6874992143252012,1.3150961765818223,-3.1093089866208685,2.7232616119833026,6.126448073082172,9.849709685065474,"14710"
"Lance McCullers Jr.","HOU","SP",169.1199951171875,153.146,1.6920409807611918,-1.5017901580503095,0.657700858297917,-3.0681836350400755,1.1348281461460377,-1.0854038078852388,9.9078506423059,9.822446834420662,"14120"
"Eduardo Rodriguez","DET","SP",158.89999389648438,177.442,2.681049573535536,-1.5017901580503095,-1.2631828267940597,-3.586652782979289,2.4446678117292135,-1.225908382558908,9.9078506423059,9.681942259746993,"13164"
"Aroldis Chapman","NYY","RP",82.18000030517578,60.8315,-4.14538381527367,6.995814697056717,2.3935744100747645,-0.2687993083243228,-3.1073683915835484,1.8678375919499421,6.126448073082172,8.994285665032113,"10233"
"Nathan Eovaldi","BOS","SP",140.50999450683594,166.806,1.401014632091841,-1.5017901580503095,-2.37551604797336,-0.9630103367141761,1.5182124831627914,-1.9210894274832133,9.9078506423059,8.986761214822685,"9132"
"Giovanny Gallegos","STL","RP",112.38999938964844,69.3807,-4.547325668302962,5.7179028183109555,1.7036687562686117,2.7613532441413113,-4.009297841150047,1.62630130926787,6.126448073082172,8.752749382350043,"14986"
"Michael Kopech","CHW","SP",167.39999389648438,129.814,-0.28315901258895204,-1.5017901580503095,-0.650326623246506,-1.0600159713464474,1.0339305547363478,-2.4613612104958675,9.9078506423059,8.446489431810033,"17282"
"Jordan Romano","TOR","RP",98.04000091552734,64.6913,-3.707961198909394,6.079012387551027,2.264909792146111,0.3756505906420444,-3.9312382401820214,1.0803733312477675,6.126448073082172,8.20682140432994,"16122"
"Mike Clevinger","SDP","SP",188.49000549316406,120.734,-0.4285113821970627,-1.5017901580503095,0.2857916060136205,-0.20720438251544387,-0.8673500297075533,-2.7190643464567485,9.9078506423059,8.18878629584915,"12808"
"Blake Snell","SDP","SP",114.81999969482422,144.894,0.46354972893685137,-1.5017901580503095,-1.0008277187137566,-2.9723183653251635,1.844564305488135,-3.166822207664244,9.9078506423059,7.741028434641657,"13543"
"Luis Castillo","CIN","SP",90,186.025,3.102020356051609,-1.5017901580503095,-2.3176742114680984,-5.3377756617872505,2.8369064116066647,-3.218313263647385,9.9078506423059,7.689537378658514,"15689"
"Framber Valdez","HOU","SP",144.83999633789062,173.49,3.258210608860618,-1.5017901580503095,0.026508677060077694,-6.186668345031788,0.929640021241751,-3.4740991959196514,9.9078506423059,7.433751446386249,"17295"
"Luis Severino","NYY","SP",176.42999267578125,122.336,0.06778975153528662,-1.5017901580503095,-1.436928670109451,0.15382822949363145,-1.068174438203595,-3.785275285334438,9.9078506423059,7.1225753569714625,"15890"
